문제ID,발상,난이도,내용,보기1,보기2,보기3,보기4,보기답
IDEA_VE_001,발상,VERY EASY,$72$의 약수의 개수를 구하시오.,소인수분해,엇각과 동위각,대푯값,작도,소인수분해
IDEA_VE_002,발상,VERY EASY,방정식 $x - 3 = 5$의 해를 구하시오.,평행이동,등식의 성질,무리수,산점도,등식의 성질
IDEA_VE_003,발상,VERY EASY,$a^3 \times a^4$을 간단히 하시오.,피타고라스 정리,원주각,지수법칙,도수분포표,지수법칙
IDEA_VE_004,발상,VERY EASY,제곱하여 $9$가 되는 양수를 구하시오.,줄기와 잎 그림,동류항의 계산,일차함수,제곱근의 뜻,제곱근의 뜻
IDEA_VE_005,발상,VERY EASY,분수 $\\frac{3}{20}$을 유한소수로 나타내시오.,유한소수의 조건,삼각비,이차방정식의 풀이,분산,유한소수의 조건
IDEA_VE_006,발상,VERY EASY,"$x=2, y=-1$일 때, $3x+2y$의 값을 구하시오.",최대공약수,식의 대입,원과 부채꼴,상관관계,식의 대입
IDEA_VE_007,발상,VERY EASY,"두 일차방정식 $x+y=5$, $x-y=1$을 동시에 만족하는 $x, y$의 값을 구하시오.",절댓값,다각형의 내각,연립방정식의 풀이,상대도수,연립방정식의 풀이
IDEA_VE_008,발상,VERY EASY,다항식 $x^2 - 9$를 두 일차식의 곱으로 나타내시오.,부채꼴의 넓이,최소공배수,경우의 수,인수분해,인수분해
IDEA_VE_009,발상,VERY EASY,"수직선 위에서 원점과 어떤 수 $a$를 나타내는 점 사이의 거리가 $5$일 때, $a$의 값을 모두 구하시오.",절댓값,근의 공식,중앙값,삼각비,절댓값
IDEA_VE_010,발상,VERY EASY,방정식 $x^2 - 4x + 3 = 0$의 해를 구하시오.,정비례 관계,이차방정식의 풀이,엇각,소수와 합성수,이차방정식의 풀이
IDEA_VE_011,발상,VERY EASY,$24$와 $36$을 모두 나누어떨어지게 하는 수 중 가장 큰 수를 구하시오.,이차함수의 그래프,평균,최대공약수,순환소수,최대공약수
IDEA_VE_012,발상,VERY EASY,$2x - 1 < 5$를 만족하는 자연수 $x$를 모두 구하시오.,단항식의 계산,작도와 합동,최빈값,부등식의 성질,부등식의 성질
IDEA_VE_013,발상,VERY EASY,"직각삼각형에서 빗변의 길이가 $5$이고 한 변의 길이가 $3$일 때, 나머지 한 변의 길이를 구하시오.",피타고라스 정리,식의 대입,히스토그램,동류항의 계산,피타고라스 정리
IDEA_VE_014,발상,VERY EASY,$y$가 $x$에 정비례하고 $x=2$일 때 $y=6$이다. $x$와 $y$ 사이의 관계식을 구하시오.,제곱근의 덧셈,정비례 관계,입체도형의 부피,분배법칙,정비례 관계
IDEA_VE_015,발상,VERY EASY,$(x+2)^2$을 전개하시오.,소인수분해,원주각,곱셈공식,산점도,곱셈공식
IDEA_VE_016,발상,VERY EASY,$-\\frac{2}{3}$와 곱하여 $1$이 되는 수를 구하시오.,평행이동,표준편차,무리수,역수의 뜻,역수의 뜻
IDEA_VE_017,발상,VERY EASY,$(2x^2)^3 \div 4x$를 간단히 하시오.,단항식의 계산,작도,중앙값,이차방정식의 해,단항식의 계산
IDEA_VE_018,발상,VERY EASY,"주어진 자료 $3, 4, 4, 5, 6, 8$에서 가장 많이 나타난 값을 구하시오.",소인수분해,최빈값,지수법칙,다항식의 덧셈,최빈값
IDEA_VE_019,발상,VERY EASY,"두 톱니바퀴 A, B의 톱니 수가 각각 $12$개, $18$개이다. 두 톱니바퀴가 처음으로 다시 같은 톱니에서 맞물릴 때까지 회전한 톱니의 총 수를 구하시오.",거듭제곱,이차함수,최소공배수,상대도수,최소공배수
IDEA_VE_020,발상,VERY EASY,분수 $\\frac{1}{3}$을 소수로 나타내시오.,일차방정식,피타고라스 정리,근의 공식,순환소수,순환소수
IDEA_VE_021,발상,VERY EASY,$\sin 30^\circ$의 값을 구하시오.,삼각비의 뜻,절댓값,도수분포표,동류항의 계산,삼각비의 뜻
IDEA_VE_022,발상,VERY EASY,$3(x + 2)$를 괄호를 풀어 나타내시오.,소수와 합성수,분배법칙,대푯값,원주각,분배법칙
